TIMESTEP,MEAN,MINIMUM(mm),MAXIMUM(mm)
1979-08-08T00:00:00Z,1.7520812,0,34.2
1979-08-09T00:00:00Z,0.94120604,0,5.7
1979-08-10T00:00:00Z,15.03229,0.9,51.7
1979-08-11T00:00:00Z,3.874237,0,33.9
1979-08-12T00:00:00Z,6.735925,0,56.9
1979-08-13T00:00:00Z,1.3863138,0,6.9
1979-08-14T00:00:00Z,6.8784666,0,21.9
1979-08-15T00:00:00Z,1.9112341,0,9
1979-08-16T00:00:00Z,0.053611867,0,3.3
1979-08-17T00:00:00Z,0.1715433,0,5.6
1979-08-18T00:00:00Z,7.7510543,0.7,25.1
1979-08-19T00:00:00Z,1.5763897,0,10.7
1979-08-20T00:00:00Z,0.003434928,0,1.2
1979-08-21T00:00:00Z,0.075176,0,5
1979-08-22T00:00:00Z,0.20273477,0,3.6
1979-08-23T00:00:00Z,4.1551294,0,18.1
1979-08-24T00:00:00Z,6.0062094,0.3,51.6
1979-08-25T00:00:00Z,5.478704,0.3,19.5
1979-08-26T00:00:00Z,4.080658,0,22.4
1979-08-27T00:00:00Z,15.6955385,0,43.2
1979-08-28T00:00:00Z,3.3699331,0,42.3
1979-08-29T00:00:00Z,5.908653,0,33.1
1979-08-30T00:00:00Z,2.0434942,0,13.3
1979-08-31T00:00:00Z,0.18918341,0,11.2
1979-09-01T00:00:00Z,2.845297,0,31.7
1979-09-02T00:00:00Z,12.151138,0.7,28.7
1979-09-03T00:00:00Z,2.8715076,0,18.3
1979-09-04T00:00:00Z,0,0,0
1979-09-05T00:00:00Z,5.7877135,0,29.3
1979-09-06T00:00:00Z,42.02191,1.2,144.2
1979-09-07T00:00:00Z,0.3258563,0,5.3
1979-09-08T00:00:00Z,0.68530977,0,7.5
1979-09-09T00:00:00Z,0.296386,0,3.8
1979-09-10T00:00:00Z,1.8800783,0,8.3
1979-09-11T00:00:00Z,0.007950534,0,1
1979-09-12T00:00:00Z,1.12E-04,0,0.7
1979-09-13T00:00:00Z,5.5451374,0,47.7
1979-09-14T00:00:00Z,37.554996,2.7,127.9
1979-09-15T00:00:00Z,0.06707342,0,3.5
1979-09-16T00:00:00Z,0.037924517,0,3.9
1979-09-17T00:00:00Z,0.16746642,0,8.6
1979-09-18T00:00:00Z,2.8971121,0,11.5
1979-09-19T00:00:00Z,1.3161063,0,4.9
1979-09-20T00:00:00Z,0.1992307,0,4.1
1979-09-21T00:00:00Z,8.4396715,0,65.1
1979-09-22T00:00:00Z,2.2924736,0,23.5
1979-09-23T00:00:00Z,0.027591899,0,1.4
1979-09-24T00:00:00Z,0,0,0
1979-09-25T00:00:00Z,0,0,0
1979-09-26T00:00:00Z,0.04946993,0,1.8
1979-09-27T00:00:00Z,0.8074818,0,4.1
1979-09-28T00:00:00Z,7.068358,0,32.7
1979-09-29T00:00:00Z,3.0680273,0,16.9
1979-09-30T00:00:00Z,2.3343508,0,28.1
1979-10-01T00:00:00Z,5.4821014,0,51.7
1979-10-02T00:00:00Z,1.4004728,0,9
1979-10-03T00:00:00Z,7.911596,0,34.5
1979-10-04T00:00:00Z,3.9578004,0,19.9
1979-10-05T00:00:00Z,24.48637,3.8,69.1
1979-10-06T00:00:00Z,6.0077906,0.4,23.2
1979-10-07T00:00:00Z,2.946352,0,14.2
1979-10-08T00:00:00Z,1.9324211,0,4.7
1979-10-09T00:00:00Z,8.224671,3.4,41
1979-10-10T00:00:00Z,2.0574615,0,17.8
1979-10-11T00:00:00Z,1.6554759,0,12.8
1979-10-12T00:00:00Z,5.8365035,0.4,21.1
1979-10-13T00:00:00Z,2.7085915,0,13.8
1979-10-14T00:00:00Z,1.6160984,0,11.3
1979-10-15T00:00:00Z,0.8945013,0,7.5
1979-10-16T00:00:00Z,0.3441361,0,3.3
1979-10-17T00:00:00Z,0.8839939,0,4.9
1979-10-18T00:00:00Z,0.07019185,0,1.4
1979-10-19T00:00:00Z,0.10539722,0,2
1979-10-20T00:00:00Z,3.1194735,0,19.3
1979-10-21T00:00:00Z,0.15596107,0,3.1
1979-10-22T00:00:00Z,0.7991132,0,6.5
1979-10-23T00:00:00Z,6.49575,0,19.6
1979-10-24T00:00:00Z,4.186342,0,15.7
1979-10-25T00:00:00Z,0.7376255,0,9.8
1979-10-26T00:00:00Z,0.2815013,0,2.5
1979-10-27T00:00:00Z,0.6049922,0,4.9
1979-10-28T00:00:00Z,4.3949594,0,15.6
1979-10-29T00:00:00Z,0.37594104,0,4.2
1979-10-30T00:00:00Z,0.007757308,0,0.7
1979-10-31T00:00:00Z,0.031150503,0,2.6
1979-11-01T00:00:00Z,1.7186335,0,10.3
1979-11-02T00:00:00Z,12.500073,0,42.2
1979-11-03T00:00:00Z,6.4502826,0,36.6
1979-11-04T00:00:00Z,0.16406423,0,5.5
1979-11-05T00:00:00Z,0.007588442,0,0.5
1979-11-06T00:00:00Z,1.3129516,0,6.2
1979-11-07T00:00:00Z,3.0532637,0,10.3
1979-11-08T00:00:00Z,0.43371144,0,7.2
1979-11-09T00:00:00Z,6.772512,0.8,23.4
1979-11-10T00:00:00Z,5.1816654,0.4,19.7
1979-11-11T00:00:00Z,1.0857162,0,20.7
1979-11-12T00:00:00Z,0.44532222,0,6
1979-11-13T00:00:00Z,2.7506845,0,7.7
1979-11-14T00:00:00Z,1.5027375,0,13.4
1979-11-15T00:00:00Z,1.7618992,0,11.5
1979-11-16T00:00:00Z,0.87340194,0,2.7
1979-11-17T00:00:00Z,0,0,0
1979-11-18T00:00:00Z,0.048688058,0,1.4
1979-11-19T00:00:00Z,0.040292688,0,1.5
1979-11-20T00:00:00Z,0.105472855,0,1.5
1979-11-21T00:00:00Z,0.13812076,0,2.6
1979-11-22T00:00:00Z,3.2499995,0,13.3
1979-11-23T00:00:00Z,0.56001246,0,4.3
1979-11-24T00:00:00Z,7.646561,0,17.2
1979-11-25T00:00:00Z,12.5638685,1.3,43.1
1979-11-26T00:00:00Z,23.370514,1.3,83.5
1979-11-27T00:00:00Z,0.9244283,0,4
1979-11-28T00:00:00Z,2.127982,0,29
1979-11-29T00:00:00Z,1.3713478,0,17.3
1979-11-30T00:00:00Z,1.7313825,0,19.6
1979-12-01T00:00:00Z,0.52830225,0,3.5
1979-12-02T00:00:00Z,0.20468771,0,2.1
1979-12-03T00:00:00Z,0.12685026,0,2.8
1979-12-04T00:00:00Z,0.45243347,0,3.4
1979-12-05T00:00:00Z,0.45541865,0,7.7
1979-12-06T00:00:00Z,2.24437,0,13.5
1979-12-07T00:00:00Z,1.9661968,0,8.1
1979-12-08T00:00:00Z,1.4783168,0,8.4
1979-12-09T00:00:00Z,0.9036103,0,5.2
1979-12-10T00:00:00Z,0.0627854,0,1.1
1979-12-11T00:00:00Z,0.4840125,0,4.2
1979-12-12T00:00:00Z,2.7232833,0,10.2
1979-12-13T00:00:00Z,3.2559233,0,19.4
1979-12-14T00:00:00Z,0.22877112,0,4.5
1979-12-15T00:00:00Z,0.22708218,0,2.5
1979-12-16T00:00:00Z,1.9698808,0,8
1979-12-17T00:00:00Z,0.7351795,0,4.1
1979-12-18T00:00:00Z,2.0209255,0,8.4
1979-12-19T00:00:00Z,1.7820882,0,6.7
1979-12-20T00:00:00Z,0.016020287,0,2.2
1979-12-21T00:00:00Z,0.042605616,0,1.1
1979-12-22T00:00:00Z,1.4050356,0,9.1
1979-12-23T00:00:00Z,3.0085287,0,11
1979-12-24T00:00:00Z,12.7392645,1.9,39
1979-12-25T00:00:00Z,15.528885,4.3,41.4
1979-12-26T00:00:00Z,0.17446089,0,1.1
1979-12-27T00:00:00Z,0.06915006,0,1.5
1979-12-28T00:00:00Z,0.00574582,0,0.5
1979-12-29T00:00:00Z,0,0,0
1979-12-30T00:00:00Z,0,0,0
1979-12-31T00:00:00Z,0,0,0
1980-01-01T00:00:00Z,0.002904059,0,0.5
1980-01-02T00:00:00Z,0.16540653,0,2.3
1980-01-03T00:00:00Z,0.22893043,0,2.8
1980-01-04T00:00:00Z,0.21578942,0,5.5
1980-01-05T00:00:00Z,0.052738518,0,2.3
1980-01-06T00:00:00Z,0.5537456,0,6.7
1980-01-07T00:00:00Z,1.4586277,0,18.8
1980-01-08T00:00:00Z,0.36692962,0,7.7
1980-01-09T00:00:00Z,0.22074462,0,3.1
1980-01-10T00:00:00Z,0.21133621,0,3.5
1980-01-11T00:00:00Z,13.049896,0.8,55.5
1980-01-12T00:00:00Z,1.6581506,0,7.3
1980-01-13T00:00:00Z,0.329265,0,5.5
1980-01-14T00:00:00Z,6.052425,0,25.8
1980-01-15T00:00:00Z,0.049614526,0,1.3
1980-01-16T00:00:00Z,0.28300142,0,5.4
1980-01-17T00:00:00Z,0.45468503,0,6.9
1980-01-18T00:00:00Z,0.5468708,0,16
1980-01-19T00:00:00Z,0.07864198,0,1.3
1980-01-20T00:00:00Z,0.6884705,0,8.1
1980-01-21T00:00:00Z,0.985951,0,6.9
1980-01-22T00:00:00Z,1.20519,0,10.2
1980-01-23T00:00:00Z,1.295354,0,11.1
1980-01-24T00:00:00Z,0.30784363,0,7.5
1980-01-25T00:00:00Z,0.5998186,0,4.6
1980-01-26T00:00:00Z,0.102127545,0,2.2
1980-01-27T00:00:00Z,0.87309176,0,8.3
1980-01-28T00:00:00Z,0.5352158,0,7.6
1980-01-29T00:00:00Z,0.40308446,0,4.6
1980-01-30T00:00:00Z,0.008007353,0,1.2
1980-01-31T00:00:00Z,0.08027191,0,1.6
1980-02-01T00:00:00Z,0.048598684,0,1.1
1980-02-02T00:00:00Z,0.1580799,0,4
1980-02-03T00:00:00Z,0.17917049,0,4
1980-02-04T00:00:00Z,0.023774548,0,0.7
1980-02-05T00:00:00Z,0,0,0
1980-02-06T00:00:00Z,0.006255201,0,0.9
1980-02-07T00:00:00Z,0.009744045,0,0.7
1980-02-08T00:00:00Z,0,0,0
1980-02-09T00:00:00Z,0.018734781,0,0.7
1980-02-10T00:00:00Z,5.85E-04,0,0.3
1980-02-11T00:00:00Z,1.0574182,0,7.1
1980-02-12T00:00:00Z,0.39534086,0,5
1980-02-13T00:00:00Z,0.45579335,0,5
1980-02-14T00:00:00Z,0.65155303,0,4.8
1980-02-15T00:00:00Z,3.3246436,0.5,8.6
1980-02-16T00:00:00Z,7.126406,0.7,20.6
1980-02-17T00:00:00Z,0.8282151,0,13.6
1980-02-18T00:00:00Z,0.034134682,0,1.2
1980-02-19T00:00:00Z,0.015976075,0,0.9
1980-02-20T00:00:00Z,0.034115765,0,1.6
1980-02-21T00:00:00Z,0.2713288,0,2.6
1980-02-22T00:00:00Z,5.127357,0.8,14
1980-02-23T00:00:00Z,0.5616724,0,5.2
1980-02-24T00:00:00Z,1.3177981,0,10.1
1980-02-25T00:00:00Z,0.3237328,0,6.1
1980-02-26T00:00:00Z,0.85824394,0,8.8
1980-02-27T00:00:00Z,1.3578101,0,5.2
1980-02-28T00:00:00Z,0.6019072,0,3.5
1980-02-29T00:00:00Z,0.081555426,0,1.4
1980-03-01T00:00:00Z,0.009936484,0,0.9
1980-03-02T00:00:00Z,0.06924534,0,2.1
1980-03-03T00:00:00Z,0.03896711,0,1.7
1980-03-04T00:00:00Z,0.010153072,0,0.8
1980-03-05T00:00:00Z,4.8514733,0,14
1980-03-06T00:00:00Z,0.55012727,0,3.2
1980-03-07T00:00:00Z,3.7690518,0,12.4
1980-03-08T00:00:00Z,11.696557,2.7,37.8
1980-03-09T00:00:00Z,1.1905366,0,8.5
1980-03-10T00:00:00Z,2.6091957,0,12.5
1980-03-11T00:00:00Z,3.162212,0,22.1
1980-03-12T00:00:00Z,1.2198697,0,7.6
1980-03-13T00:00:00Z,6.8772306,1.1,27.4
1980-03-14T00:00:00Z,12.073407,2,41.7
1980-03-15T00:00:00Z,0.23738879,0,2.6
1980-03-16T00:00:00Z,0.13002694,0,2.5
1980-03-17T00:00:00Z,4.5442724,0.9,20.9
1980-03-18T00:00:00Z,7.1120486,0.6,44.4
1980-03-19T00:00:00Z,0.060973737,0,3.8
1980-03-20T00:00:00Z,0.34548342,0,6.3
1980-03-21T00:00:00Z,28.88139,0,132.7
1980-03-22T00:00:00Z,4.591625,0,35.1
1980-03-23T00:00:00Z,0.7688552,0,6.1
1980-03-24T00:00:00Z,5.3038983,0.5,16.2
1980-03-25T00:00:00Z,4.2321234,0,14.6
1980-03-26T00:00:00Z,0.015245459,0,1.8
1980-03-27T00:00:00Z,0.031717617,0,2.9
1980-03-28T00:00:00Z,2.3464382,0,7.8
1980-03-29T00:00:00Z,9.294641,0.8,20.1
1980-03-30T00:00:00Z,1.4677509,0,9.6
1980-03-31T00:00:00Z,6.3544,0,38.7
1980-04-01T00:00:00Z,0.3353664,0,2.1
1980-04-02T00:00:00Z,0.2946031,0,2.6
1980-04-03T00:00:00Z,2.1124601,0,7.5
1980-04-04T00:00:00Z,9.681054,1.6,28.8
1980-04-05T00:00:00Z,0.3905608,0,2.3
1980-04-06T00:00:00Z,0.15580706,0,4.1
1980-04-07T00:00:00Z,0.14077763,0,2.4
1980-04-08T00:00:00Z,5.432169,0,27.6
1980-04-09T00:00:00Z,20.831661,4.2,72.5
1980-04-10T00:00:00Z,4.7951264,0,28.3
1980-04-11T00:00:00Z,0.19755068,0,8.5
1980-04-12T00:00:00Z,5.9078507,0,21
1980-04-13T00:00:00Z,2.1588135,0,8.2
1980-04-14T00:00:00Z,8.039981,0,23.4
1980-04-15T00:00:00Z,4.3505864,0.4,15
1980-04-16T00:00:00Z,1.1776065,0,5.9
1980-04-17T00:00:00Z,0.065542184,0,1
1980-04-18T00:00:00Z,0.03674523,0,0.8
1980-04-19T00:00:00Z,0.10297891,0,2.1
1980-04-20T00:00:00Z,0.43864563,0,3.4
1980-04-21T00:00:00Z,0.04350049,0,2
1980-04-22T00:00:00Z,5.37E-04,0,0.3
1980-04-23T00:00:00Z,0.0443731,0,0.8
1980-04-24T00:00:00Z,0.5461287,0,3.9
1980-04-25T00:00:00Z,3.4674919,0,14.9
1980-04-26T00:00:00Z,0.23472977,0,1.4
1980-04-27T00:00:00Z,7.066989,0,50.1
1980-04-28T00:00:00Z,18.292606,2,61.8
1980-04-29T00:00:00Z,5.124655,0.3,18.6
1980-04-30T00:00:00Z,0.07996123,0,3.9
1980-05-01T00:00:00Z,0.54193133,0,5.3
1980-05-02T00:00:00Z,0.63506514,0,6.5
1980-05-03T00:00:00Z,0,0,0
1980-05-04T00:00:00Z,0.011800439,0,0.7
1980-05-05T00:00:00Z,0.4548075,0,2.8
1980-05-06T00:00:00Z,1.7511121,0,14.8
1980-05-07T00:00:00Z,0.53421557,0,6.2
1980-05-08T00:00:00Z,1.1562315,0,16
1980-05-09T00:00:00Z,0.43121004,0,3.2
1980-05-10T00:00:00Z,0.024053229,0,1.2
1980-05-11T00:00:00Z,1.3245898,0,5.9
1980-05-12T00:00:00Z,3.2247162,0,12.2
1980-05-13T00:00:00Z,6.709664,0,20
1980-05-14T00:00:00Z,0.5365139,0,1.9
1980-05-15T00:00:00Z,0.06485036,0,1
1980-05-16T00:00:00Z,0.009363416,0,1.1
1980-05-17T00:00:00Z,1.2921648,0,11
1980-05-18T00:00:00Z,7.568295,1.8,20.4
1980-05-19T00:00:00Z,0.57516915,0,10
1980-05-20T00:00:00Z,0.20653987,0,4.7
1980-05-21T00:00:00Z,1.6614143,0,26.2
1980-05-22T00:00:00Z,0.001331862,0,0.5
1980-05-23T00:00:00Z,0,0,0
1980-05-24T00:00:00Z,0.00893466,0,0.6
1980-05-25T00:00:00Z,0,0,0
1980-05-26T00:00:00Z,0,0,0
1980-05-27T00:00:00Z,0,0,0
1980-05-28T00:00:00Z,0,0,0
1980-05-29T00:00:00Z,0.21783155,0,4.4
1980-05-30T00:00:00Z,1.1057355,0,12.3
1980-05-31T00:00:00Z,5.4895678,0,18.7
1980-06-01T00:00:00Z,1.2827371,0,9.6
1980-06-02T00:00:00Z,8.010364,1,35.4
1980-06-03T00:00:00Z,7.935372,0.4,33.4
1980-06-04T00:00:00Z,0.4551395,0,5.5
1980-06-05T00:00:00Z,0.25424698,0,5
